City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
139,Chapleau,CA,2021-12-27 23:41:30,47.8405,-83.4034,10.49,85,90,10.36
140,Cherepovets,RU,2021-12-27 23:42:31,59.1333,37.9,1.22,85,20,2.24
141,Saskylakh,RU,2021-12-27 23:42:32,71.9167,114.0833,-29.43,100,94,4.25
142,Tiarei,PF,2021-12-27 23:42:32,-17.5333,-149.3333,82.42,69,98,4.76
143,Leningradskiy,RU,2021-12-27 23:42:33,69.3833,178.4167,-31.38,99,48,4.56
144,Yumen,CN,2021-12-27 23:42:33,40.2833,97.2,15.85,66,100,17.29
145,Ayna,PE,2021-12-27 23:42:34,-12.65,-73.9167,90.1,85,100,0.43
146,Zabaykalsk,RU,2021-12-27 23:42:34,49.6333,117.3167,-9.94,97,20,5.32
147,Broken Hill,AU,2021-12-27 23:42:35,-31.95,141.4333,73.11,38,0,16.11
148,Le Port,RE,2021-12-27 23:42:35,-20.9373,55.2919,75.16,84,66,1.88
149,Nanortalik,GL,2021-12-27 23:42:36,60.1432,-45.2371,25.3,68,5,6.96
150,Kruisfontein,ZA,2021-12-27 23:42:36,-34.0033,24.7314,63.88,93,100,10.07
151,Victoria,HK,2021-12-27 23:41:39,22.2855,114.1577,58.24,82,99,3.0
152,Havoysund,NO,2021-12-27 23:42:37,70.9963,24.6622,22.08,74,100,5.26
153,Trairi,BR,2021-12-27 23:40:35,-3.2778,-39.2689,80.26,80,86,9.48
154,Coihaique,CL,2021-12-27 23:42:37,-45.5752,-72.0662,61.41,49,1,6.31
155,Pailon,BO,2021-12-27 23:42:38,-17.65,-62.75,92.88,70,8,4.94
156,Oistins,BB,2021-12-27 23:42:38,13.0667,-59.5333,77.09,73,20,11.5
157,Torbay,CA,2021-12-27 23:42:39,47.6666,-52.7314,36.57,96,90,20.71
158,Juazeirinho,BR,2021-12-27 23:42:39,-6.8167,-38.05,81.01,66,100,2.46
159,Bukachacha,RU,2021-12-27 23:42:40,52.9833,116.9167,-6.43,96,100,3.06
160,Livingston,GB,2021-12-27 23:42:41,55.9029,-3.5226,41.25,93,90,1.14
161,Souillac,MU,2021-12-27 23:42:41,-20.5167,57.5167,77.38,83,40,3.44
162,Vanimo,PG,2021-12-27 23:42:41,-2.6741,141.3028,79.14,88,100,3.44
163,Narsaq,GL,2021-12-27 23:42:42,60.9167,-46.05,19.62,56,0,7.0
164,Keuruu,FI,2021-12-27 23:42:42,62.2667,24.7,14.81,99,79,4.07
165,Chengde,CN,2021-12-27 23:42:43,40.9725,117.9361,17.17,38,0,2.93
166,Priladozhskiy,RU,2021-12-27 23:42:43,59.85,31.4833,2.86,1,93,4.61
167,Sakaiminato,JP,2021-12-27 23:42:44,35.55,133.2333,39.18,81,75,4.61
168,Santa Helena De Goias,BR,2021-12-27 23:42:44,-17.8136,-50.5969,77.16,55,41,3.78
169,Goure,NE,2021-12-27 23:42:45,13.9835,10.2704,67.01,21,1,10.63
170,Klaksvik,FO,2021-12-27 23:42:46,62.2266,-6.589,41.92,92,97,1.97
171,Yabelo,ET,2021-12-27 23:42:46,4.8833,38.0833,61.56,53,96,19.73
172,Road Town,VG,2021-12-27 23:40:49,18.4167,-64.6167,78.89,78,40,5.75
173,Aksu,CN,2021-12-27 23:42:47,41.1231,80.2644,21.58,64,92,2.04
174,Gamba,GA,2021-12-27 23:42:47,-2.65,10.0,76.66,89,96,5.48
175,Champoton,MX,2021-12-27 23:42:47,19.35,-90.7167,80.4,70,41,8.86
176,Linares,CL,2021-12-27 23:42:48,-35.85,-71.6,78.33,29,77,5.82
177,Andenes,NO,2021-12-27 23:42:48,69.3143,16.1194,28.38,80,98,16.11
178,Gold Coast,AU,2021-12-27 23:40:22,-28.0,153.4333,72.3,77,90,8.99
179,Tongzi,CN,2021-12-27 23:42:49,28.7829,105.0877,39.52,82,100,2.93
180,Buala,SB,2021-12-27 23:42:50,-8.145,159.5921,79.43,88,100,8.86
181,Kushiro,JP,2021-12-27 23:42:50,42.975,144.3747,14.95,67,20,6.91
182,Aklavik,CA,2021-12-27 23:42:50,68.2191,-135.0107,-4.97,88,100,24.18
